ts,pid,comm,file,size,entropy,is_enc
1769798460.4838567,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2043,0
1769798462.3040032,8761,0a77e537c64336f,How To Restore Your Files.txt,8192,4.8658,0
1769798462.588164,8761,thread-pool-0,dummy_1.txt,10485760,7.9537,1
1769798462.8379633,8761,thread-pool-0,dummy_1.txt,10485760,7.9577,1
1769798463.063405,8761,thread-pool-0,dummy_1.txt,10485760,7.9558,1
1769798463.2579398,8761,thread-pool-0,dummy_1.txt,10485760,7.9602,1
1769798463.4660852,8761,thread-pool-0,dummy_1.txt,10485760,7.9584,1
1769798463.6684475,8761,thread-pool-0,dummy_1.txt,10485760,7.9515,1
1769798463.8800328,8761,thread-pool-0,dummy_1.txt,10485760,7.9557,1
1769798464.094029,8761,thread-pool-0,dummy_1.txt,10485760,7.9474,1
1769798464.3000624,8761,thread-pool-0,dummy_1.txt,10485760,7.9536,1
1769798464.5011075,8761,thread-pool-0,dummy_1.txt,10485760,7.9570,1
1769798464.7113,8761,thread-pool-0,dummy_1.txt,10485760,7.9548,1
1769798464.9145641,8761,thread-pool-0,dummy_1.txt,10485760,7.9548,1
1769798465.129378,8761,thread-pool-0,dummy_1.txt,10485760,7.9493,1
1769798465.2988586,8761,thread-pool-0,dummy_1.txt,10485760,7.9588,1
1769798465.4640753,8761,thread-pool-0,dummy_1.txt,10485760,7.9517,1
1769798465.623645,8761,thread-pool-0,dummy_1.txt,10485760,7.9526,1
1769798465.7543876,8761,thread-pool-0,dummy_1.txt,10485760,7.9533,1
1769798465.8824842,8761,thread-pool-0,dummy_1.txt,10485760,7.9604,1
1769798466.007293,8761,thread-pool-0,dummy_1.txt,10485760,7.9498,1
1769798466.1317945,8761,thread-pool-0,dummy_1.txt,10485760,7.9578,1
1769798466.2548225,8761,thread-pool-0,dummy_1.txt,10485760,7.9608,1
1769798466.3731453,8761,thread-pool-0,dummy_1.txt,10485760,7.9571,1
1769798466.493987,8761,thread-pool-0,dummy_1.txt,10485760,7.9560,1
1769798466.6163006,8761,thread-pool-0,dummy_1.txt,10485760,7.9538,1
1769798466.7420871,8761,thread-pool-0,dummy_1.txt,10485760,7.9524,1
1769798466.864742,8761,thread-pool-0,dummy_1.txt,10485760,7.9442,1
1769798466.9827907,8761,thread-pool-0,dummy_1.txt,10485760,7.9578,1
1769798467.1105804,8761,thread-pool-0,dummy_1.txt,10485760,7.9600,1
1769798467.2325163,8761,thread-pool-0,dummy_1.txt,10485760,7.9596,1
1769798467.3557508,8761,thread-pool-0,dummy_1.txt,10485760,7.9521,1
1769798467.4826262,8761,thread-pool-0,dummy_1.txt,10485760,7.9491,1
