ts,pid,comm,file,size,entropy,is_enc
1769809282.4827485,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809284.248982,9651,08113ca015468d6,!NEWS_FOR_STJ!.txt,619,4.8766,0
1769809284.2496543,9651,08113ca015468d6,dummy_4.txt,512,7.6027,1
1769809284.277076,9651,08113ca015468d6,dummy_4.txt,4194304,7.7179,1
1769809290.3693984,373,rs:main Q:Reg,syslog,646,5.0302,0
1769809290.3703206,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809290.370577,373,rs:main Q:Reg,syslog,852,4.9323,0
1769809290.3711,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809329.489722,373,rs:main Q:Reg,syslog,646,5.0330,0
1769809329.4907038,373,rs:main Q:Reg,syslog,682,4.9623,0
1769809329.4917827,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809329.4923546,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2045,0
1769809336.3148181,373,rs:main Q:Reg,syslog,646,5.0290,0
1769809336.3156173,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809336.3158243,373,rs:main Q:Reg,syslog,994,4.9415,0
1769809336.3164098,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2042,0
1769809336.3482332,373,rs:main Q:Reg,syslog,646,5.0320,0
1769809336.3489351,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809336.3491962,373,rs:main Q:Reg,syslog,1640,5.0901,0
1769809336.3497844,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809336.3503017,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2040,0
1769809336.7030263,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809337.4153953,373,rs:main Q:Reg,syslog,2474,5.0645,0
1769809337.419656,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809350.366818,373,rs:main Q:Reg,syslog,646,5.0314,0
1769809350.3677862,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2042,0
1769809350.3679774,373,rs:main Q:Reg,syslog,852,4.9351,0
1769809350.3685677,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809389.4894028,373,rs:main Q:Reg,syslog,646,5.0324,0
1769809389.4905508,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809389.4943717,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809389.4946022,373,rs:main Q:Reg,syslog,682,4.9615,0
1769809389.495212,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809396.3138826,373,rs:main Q:Reg,syslog,646,5.0282,0
1769809396.314647,373,rs:main Q:Reg,syslog,661,4.9337,0
1769809396.3153362,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809396.3159094,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769809396.3467119,373,rs:main Q:Reg,syslog,646,5.0321,0
1769809396.348027,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
