ts,pid,comm,file,size,entropy,is_enc
1769816497.0928798,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816529.4914987,373,rs:main Q:Reg,syslog,647,5.0268,0
1769816529.4929855,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816529.4931939,373,rs:main Q:Reg,syslog,994,4.9478,0
1769816529.49373,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816536.3178759,373,rs:main Q:Reg,syslog,647,5.0264,0
1769816536.3193266,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816536.3195925,373,rs:main Q:Reg,syslog,994,4.9433,0
1769816536.3201046,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816536.3471746,373,rs:main Q:Reg,syslog,647,5.0278,0
1769816536.348155,373,rs:main Q:Reg,syslog,1783,5.0778,0
1769816536.349231,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816536.349972,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816536.7061975,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2041,0
1769816537.4149148,373,rs:main Q:Reg,syslog,1485,4.9294,0
1769816537.4156988,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816537.4159055,373,rs:main Q:Reg,syslog,994,4.9554,0
1769816537.4164429,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816550.3677647,373,rs:main Q:Reg,syslog,647,5.0285,0
1769816550.368545,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816550.368738,373,rs:main Q:Reg,syslog,994,4.9298,0
1769816550.369231,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816589.4898014,373,rs:main Q:Reg,syslog,647,5.0264,0
1769816589.4906373,373,rs:main Q:Reg,syslog,994,4.9454,0
1769816589.4913752,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816589.4919693,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816596.3144155,373,rs:main Q:Reg,syslog,647,5.0233,0
1769816596.3152328,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2043,0
1769816596.3154304,373,rs:main Q:Reg,syslog,994,4.9409,0
1769816596.315956,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816596.3468297,373,rs:main Q:Reg,syslog,647,5.0268,0
1769816596.348495,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816596.348992,373,rs:main Q:Reg,syslog,2323,5.0710,0
1769816596.3497906,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816597.418947,373,rs:main Q:Reg,syslog,1485,4.9313,0
1769816597.4196098,373,rs:main Q:Reg,syslog,994,4.9529,0
1769816597.4206047,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816610.367952,373,rs:main Q:Reg,syslog,647,5.0262,0
1769816610.3686538,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816610.3688326,373,rs:main Q:Reg,syslog,994,4.9261,0
1769816610.3693209,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816649.4906178,373,rs:main Q:Reg,syslog,647,5.0274,0
1769816649.4925718,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2017,0
1769816649.4927661,373,rs:main Q:Reg,syslog,518,4.9470,0
1769816649.493287,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2042,0
1769816656.3151186,373,rs:main Q:Reg,syslog,647,5.0235,0
1769816656.315914,373,rs:main Q:Reg,syslog,819,4.9448,0
1769816656.3168726,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816656.3473923,373,rs:main Q:Reg,syslog,647,5.0266,0
1769816656.3493998,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2035,0
1769816656.349801,373,rs:main Q:Reg,syslog,2159,5.0742,0
1769816656.3503144,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769816657.4186273,373,rs:main Q:Reg,syslog,1485,4.9306,0
1769816657.4192555,373,rs:main Q:Reg,syslog,994,4.9571,0
1769816657.420059,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2045,0
1769816670.369692,373,rs:main Q:Reg,syslog,647,5.0266,0
1769816670.3703141,373,rs:main Q:Reg,syslog,994,4.9315,0
