ts,pid,comm,file,size,entropy,is_enc
1769820104.548044,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820106.3489034,10538,1d3b5c650533d13,akira_readme.txt,2679,4.6130,0
1769820126.4150279,373,rs:main Q:Reg,syslog,568,5.0982,0
1769820126.4161448,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820129.4902513,373,rs:main Q:Reg,syslog,647,5.0281,0
1769820129.491065,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820129.4912772,373,rs:main Q:Reg,syslog,994,4.9440,0
1769820129.4918451,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820136.3159323,373,rs:main Q:Reg,syslog,647,5.0259,0
1769820136.3167987,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2017,0
1769820136.3170304,373,rs:main Q:Reg,syslog,994,4.9393,0
1769820136.3175874,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2042,0
1769820136.3468614,373,rs:main Q:Reg,syslog,647,5.0299,0
1769820136.3487415,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2042,0
1769820136.3491704,373,rs:main Q:Reg,syslog,2159,5.0714,0
1769820136.356727,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820137.4235148,373,rs:main Q:Reg,syslog,2304,5.0519,0
1769820137.4251957,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820137.4259667,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820150.3683052,373,rs:main Q:Reg,syslog,647,5.0300,0
1769820150.3689635,373,rs:main Q:Reg,syslog,994,4.9275,0
1769820150.369831,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2045,0
1769820150.3704374,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2045,0
1769820189.4901745,373,rs:main Q:Reg,syslog,647,5.0271,0
1769820189.4910614,373,rs:main Q:Reg,syslog,994,4.9410,0
1769820189.4918423,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820189.4926913,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
1769820196.313732,373,rs:main Q:Reg,syslog,647,5.0252,0
1769820196.3151517,836,flb-pipeline,default_pipeline_syslog-wal,4096,0.2050,0
